Class,Precision,Recall,F1-score,Support,source_file
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_pure_alpha.json
0,0.17,0.62,0.26,99,mlp_report_result_topk.json
1,0.0,0.0,0.0,104,mlp_report_result_topk.json
2,0.17,0.01,0.02,112,mlp_report_result_topk.json
3,0.07,0.14,0.1,86,mlp_report_result_topk.json
4,0.0,0.0,0.0,88,mlp_report_result_topk.json
5,0.11,0.16,0.13,98,mlp_report_result_topk.json
6,0.31,0.37,0.33,101,mlp_report_result_topk.json
7,0.04,0.02,0.03,94,mlp_report_result_topk.json
8,0.22,0.04,0.07,99,mlp_report_result_topk.json
9,0.71,1.0,0.83,105,mlp_report_result_topk.json
10,0.23,0.21,0.22,121,mlp_report_result_topk.json
11,0.19,0.09,0.12,99,mlp_report_result_topk.json
12,0.11,0.1,0.1,94,mlp_report_result_topk.json
13,0.34,0.71,0.46,97,mlp_report_result_topk.json
14,0.25,0.02,0.04,102,mlp_report_result_topk.json
15,0.07,0.11,0.09,91,mlp_report_result_topk.json
16,0.12,0.09,0.1,110,mlp_report_result_topk.json
accuracy,1700.0,0.0,0.0,1700,mlp_report_result_topk.json
