t,vLoca,vLocb,vLocc
0,22902.849609375,611242.4375,-632371.625
1.0000000116861e-07,22875.5546875,611256.8125,-632358.6875
2.00000002337219e-07,22848.2578125,611271.125,-632345.75
3.00000010611257e-07,22820.9609375,611285.4375,-632332.75
4.00000004674439e-07,22793.666015625,611299.75,-632319.8125
4.99999998737621e-07,22766.369140625,611314.0625,-632306.875
6.00000021222513e-07,22739.072265625,611328.375,-632293.875
6.99999986863986e-07,22711.77734375,611342.6875,-632280.9375
8.00000009348878e-07,22684.48046875,611357,-632267.9375
8.99999974990351e-07,22657.18359375,611371.3125,-632255
9.99999997475243e-07,22629.88671875,611385.625,-632242
1.09999996311672e-06,22602.591796875,611399.9375,-632229.0625
1.20000004244503e-06,22575.294921875,611414.3125,-632216.0625
1.3000000080865e-06,22547.998046875,611428.5625,-632203.125
1.39999997372797e-06,22520.701171875,611442.875,-632190.1875
1.50000005305628e-06,22493.40625,611457.1875,-632177.1875
1.60000001869776e-06,22466.109375,611471.5,-632164.1875
1.69999998433923e-06,22438.8125,611485.8125,-632151.25
1.7999999499807e-06,22411.515625,611500.125,-632138.25
1.90000002930901e-06,22384.21875,611514.4375,-632125.3125
1.99999999495049e-06,22356.921875,611528.75,-632112.3125
2.1000000742788e-06,22329.625,611543.0625,-632099.375
2.19999992623343e-06,22302.328125,611557.375,-632086.375
2.30000000556174e-06,22275.03125,611571.6875,-632073.375
2.40000008489005e-06,22247.734375,611586,-632060.4375
2.49999993684469e-06,22220.4375,611600.25,-632047.4375
2.600000016173e-06,22193.140625,611614.5625,-632034.4375
2.70000009550131e-06,22165.84375,611628.875,-632021.5
2.79999994745594e-06,22138.546875,611643.1875,-632008.5
2.90000002678426e-06,22111.25,611657.5,-631995.5
3.00000010611257e-06,22083.953125,611671.75,-631982.5
3.0999999580672e-06,22056.65625,611686.0625,-631969.5625
3.20000003739551e-06,22029.359375,611700.375,-631956.5625
3.29999988935015e-06,22002.0625,611714.625,-631943.5625
3.39999996867846e-06,21974.765625,611728.9375,-631930.5625
3.50000004800677e-06,21947.46875,611743.25,-631917.625
3.5999998999614e-06,21920.171875,611757.5625,-631904.625
3.69999997928971e-06,21892.873046875,611771.8125,-631891.625
3.80000005861802e-06,21865.576171875,611786.125,-631878.625
3.90000013794634e-06,21838.279296875,611800.4375,-631865.625
3.99999998990097e-06,21810.982421875,611814.6875,-631852.625
4.09999984185561e-06,21783.685546875,611829,-631839.625
4.20000014855759e-06,21756.38671875,611843.25,-631826.625
4.30000000051223e-06,21729.08984375,611857.5625,-631813.6875
4.39999985246686e-06,21701.79296875,611871.8125,-631800.6875
4.50000015916885e-06,21674.494140625,611886.125,-631787.6875
4.60000001112348e-06,21647.197265625,611900.4375,-631774.6875
4.69999986307812e-06,21619.900390625,611914.6875,-631761.6875
4.80000016978011e-06,21592.6015625,611929,-631748.6875
4.90000002173474e-06,21565.3046875,611943.25,-631735.6875
4.99999987368938e-06,21538.0078125,611957.5625,-631722.6875
5.10000018039136e-06,21510.708984375,611971.8125,-631709.6875
5.200000032346e-06,21483.412109375,611986.0625,-631696.6875
5.29999988430063e-06,21456.11328125,612000.375,-631683.6875
5.40000019100262e-06,21428.81640625,612014.625,-631670.625
5.50000004295725e-06,21401.517578125,612028.9375,-631657.625
5.59999989491189e-06,21374.220703125,612043.1875,-631644.625
5.70000020161388e-06,21346.923828125,612057.5,-631631.625
5.80000005356851e-06,21319.625,612071.75,-631618.625
5.89999990552315e-06,21292.328125,612086,-631605.625
6.00000021222513e-06,21265.029296875,612100.3125,-631592.625
6.10000006417977e-06,21237.73046875,612114.5625,-631579.625
6.1999999161344e-06,21210.43359375,612128.8125,-631566.5625
6.30000022283639e-06,21183.134765625,612143.125,-631553.5625
6.40000007479102e-06,21155.837890625,612157.375,-631540.5625
6.49999992674566e-06,21128.5390625,612171.625,-631527.5625
6.59999977870029e-06,21101.240234375,612185.875,-631514.5
6.70000008540228e-06,21073.943359375,612200.1875,-631501.5
6.79999993735692e-06,21046.64453125,612214.4375,-631488.5
6.89999978931155e-06,21019.345703125,612228.6875,-631475.5
7.00000009601354e-06,20992.048828125,612242.9375,-631462.4375
7.09999994796817e-06,20964.75,612257.1875,-631449.4375
7.19999979992281e-06,20937.451171875,612271.5,-631436.4375
7.30000010662479e-06,20910.154296875,612285.75,-631423.375
